call_number,author,title,country,city,publisher,year,author_yivo,title_yivo,country_en,city_en,publisher_en,jerusalem,telaviv
,א. ב. ג.,אין אפריקא ראמעלט זיך!,,תל אביב,החיים. דער לעבען,1960,,,,,,1
,א. ש.,מאדערנער אידישער רעדנער.,,ריגע,ב. שערעשעווסקי,,,,,,,1
,"אביגדור, יעקב",אויפזאצן און עסייען.,,מעקסיקע,,1965,,,,,,1
,"אביון, א","א וועלט פארגייט, א וועלט גייט אויף",,בוקארעשט,ליטעראטור פארלאג,1967,,,,,,1
,"אבלסאן, אבע",ניט היינט און ניט אמאל. מאיסעלעך,,ניו הייווען,גרופע יידיש,1938,,,,,,1
,"אבלסאן, אבע",ניט קיין סך,,ניו הייווען,פארלאג יידיש,1941,,,,,,1
,"אבן יחייא, גדליהו",ספר שלשלת הקבלה.,,ניו יארק,SAPHOGRAPH CO,,,,,,,1
,"אבן, יצחק",פון רבין'ס הויף.,,ניו יארק,מחבר,1922,,,,,,1
,"אבנרי, אורי",אויף די פעלדער פון נגב,,תל אביב,הוצאת פועלים,1951,,,,,,1
,"אבראמאוויטש, ר",אין צוויי רעוואלוציעס.,,ניו יארק,ארבעטער רינג,1944,,,,,,1
,אברהמעלע דע-רופא (אברהם קליין),לעב און לאך אין ישראל.,,פתח תקווה,,1972,,,,,,1
,"אגוז, אהרן דוד",מיין רייזע אין צעהן לענדער,,ניו יארק,,1930,,,,,,1
,"אגניעוו, נ",דאס טאגבוך פון קאסטיא ריבאצעוו,,ווילנע,ב. קלעצקין,1930,,,,,,1
,"אדלער, אלפרעד - ב. דאדיוק, ר. ליכטענשטיין",דער זין פון לעבן,,ווילנע,טאמאר,1938,,,,,,1
,"אדלער, יעקב",זכרונות,,באסטאן,פארלאג מאדערנע ליטעראטור,,,,,,,1
,"אדלער, יעקב",לידער,,נ.י,אדלער יובילעום קאמיטע,1924,,,,,,1
,"אדלער, צילי",צילי אדלער דערציילט,,ניו יארק,צ. א. פאונדיישן און בוך קאמיטעט,1959,,,,,,1
,"אדלער, צילי",צילי אדלער דערציילט,,ניו יארק,צ. א. פאונדיישן און בוך קאמיטעט,1959,,,,,,1
,"אדערשלעגער, מאריס / משה-יעקב",שריפטן,,ניו יארק,מ.א.,1941,,,,,,1
,"אואלעס, לואיס",ירושלים און רוים,,ווילנע,,1931,,,,,,1
