1960,החיים. דער לעבען,תל אביב,אין אפריקא ראמעלט זיך!,א. ב. ג.
,ב. שערעשעווסקי,ריגע,מאדערנער אידישער רעדנער.,א. ש.
1965,,מעקסיקע,אויפזאצן און עסייען.,"אביגדור, יעקב"
1967,ליטעראטור פארלאג,בוקארעשט,"א וועלט פארגייט, א וועלט גייט אויף","אביון, א"
1938,גרופע יידיש,ניו הייווען,ניט היינט און ניט אמאל. מאיסעלעך,"אבלסאן, אבע"
1941,פארלאג יידיש,ניו הייווען,ניט קיין סך,"אבלסאן, אבע"
,SAPHOGRAPH CO,ניו יארק,ספר שלשלת הקבלה.,"אבן יחייא, גדליהו"
1922,מחבר,ניו יארק,פון רבין'ס הויף.,"אבן, יצחק"
1951,הוצאת פועלים,תל אביב,אויף די פעלדער פון נגב,"אבנרי, אורי"
1944,ארבעטער רינג,ניו יארק,אין צוויי רעוואלוציעס.,"אבראמאוויטש, ר"
1972,,פתח תקווה,לעב און לאך אין ישראל.,אברהמעלע דע-רופא (אברהם קליין)
1930,,ניו יארק,מיין רייזע אין צעהן לענדער,"אגוז, אהרן דוד"
1930,ב. קלעצקין,ווילנע,דאס טאגבוך פון קאסטיא ריבאצעוו,"אגניעוו, נ"
1938,טאמאר,ווילנע,דער זין פון לעבן,"אדלער, אלפרעד - ב. דאדיוק, ר. ליכטענשטיין"
,פארלאג מאדערנע ליטעראטור,באסטאן,זכרונות,"אדלער, יעקב"
1924,אדלער יובילעום קאמיטע,נ.י,לידער,"אדלער, יעקב"
1959,צ. א. פאונדיישן און בוך קאמיטעט,ניו יארק,צילי אדלער דערציילט,"אדלער, צילי"
1959,צ. א. פאונדיישן און בוך קאמיטעט,ניו יארק,צילי אדלער דערציילט,"אדלער, צילי"
1941,מ.א.,ניו יארק,שריפטן,"אדערשלעגער, מאריס / משה-יעקב"
1931,,ווילנע,ירושלים און רוים,"אואלעס, לואיס"
1928,ב. קלעצקין,ווילנע,גרונטשטריכן פון יידישן רעאליזם.,"אויסלענדער, נ"
1940,דער עמעס,מאסקווע,יידישער טעאטער. 1887-1917.,"אויסלענדער, נ"
